Timestamp;real_rpm;rpm_set
2000;58;100
14000;61;100
26000;58;100
38000;60;100
49000;58;100
61000;54;100
73000;60;100
85000;65;100
96000;69;100
108000;76;100
120000;70;100
132000;62;100
144000;63;100
156000;58;100
168000;60;100
179000;62;100
191000;65;100
203000;72;100
214000;65;100
225000;62;100
237000;61;100
248000;62;100
259000;65;100
270000;62;100
281000;63;100
293000;64;100
305000;66;100
316000;59;100
328000;65;100
339000;64;100
350000;73;100
362000;66;100
373000;61;100
385000;61;100
397000;57;100
409000;56;100
421000;62;100
433000;62;100
444000;60;100
456000;57;100
468000;57;100
479000;55;100
491000;56;100
503000;54;100
514000;61;100
526000;65;100
537000;70;100
549000;62;100
560000;61;100
571000;62;100
583000;60;100
594000;70;100
606000;64;100
617000;62;100
629000;57;100
641000;62;100
653000;62;100
665000;64;100
677000;62;100
689000;68;100
700000;62;100
712000;62;100
724000;65;100
736000;66;100
747000;61;100
759000;63;100
771000;62;100
783000;62;100
795000;62;100
807000;63;100
819000;68;100
830000;65;100
841000;60;100
853000;62;100
865000;62;100
877000;65;100
889000;61;100
900000;61;100
912000;59;100
923000;59;100
934000;58;100
945000;60;100
956000;59;100
968000;59;100
979000;59;100
990000;62;100
1002000;61;100
1013000;56;100
1025000;63;100
1037000;65;100
1049000;67;100
1061000;74;100
1073000;69;100
1085000;69;100
1097000;68;100
1108000;70;100
1120000;62;100
1132000;62;100
1144000;66;100
1156000;67;100
1167000;64;100
1179000;63;100
1190000;63;100
1202000;70;100
1213000;64;100
1225000;65;100
1237000;69;100
1248000;66;100
1259000;61;100
1271000;66;100
1282000;68;100
1293000;75;100
1304000;68;100
1316000;65;100
1328000;65;100
1339000;60;100
1351000;59;100
1362000;61;100
1374000;63;100
1386000;62;100
1397000;59;100
1408000;60;100
1420000;60;100
1431000;60;100
1443000;57;100
1455000;61;100
1466000;64;100
1478000;69;100
1490000;65;100
1502000;68;100
1514000;67;100
1526000;67;100
1538000;61;100
1550000;62;100
1562000;59;100
1574000;65;100
1585000;65;100
1596000;68;100
1608000;66;100
1619000;71;100
1630000;68;100
1642000;63;100
1654000;69;100
1666000;70;100
1677000;65;100
1688000;65;100
1699000;63;100
1711000;65;100
1722000;62;100
1734000;65;100
1746000;70;100
1758000;69;100
1770000;70;100
1781000;66;100
1793000;60;100
1805000;61;100
1817000;61;100
1829000;62;100
1841000;64;100
1851000;61;100
1863000;61;100
1875000;62;100
1887000;65;100
1898000;62;100
1909000;61;100
1921000;63;100
1932000;59;100
1943000;66;100
1954000;67;100
1965000;75;100
1976000;82;100
1988000;75;100
1999000;70;100
2010000;66;100
2022000;62;100
2033000;63;100
2044000;66;100
2055000;68;100
2066000;75;100
2077000;69;100
2089000;67;100
2100000;68;100
2112000;67;100
2124000;63;100
2136000;66;100
2148000;67;100
2160000;69;100
2172000;64;100
2184000;69;100
2196000;62;100
2207000;62;100
2219000;62;100
2231000;64;100
2243000;65;100
2255000;67;100
2266000;67;100
2277000;65;100
2288000;61;100
2299000;62;100
2310000;62;100
2322000;59;100
2334000;61;100
2346000;58;100
2357000;64;100
2369000;66;100
2380000;71;100
2392000;67;100
2404000;69;100
2416000;69;100
2428000;71;100
2439000;61;100
2451000;64;100
2463000;62;100
2474000;68;100
2486000;67;100
2497000;67;100
2508000;64;100
2520000;71;100
2532000;66;100
2544000;67;100
2556000;74;100
2568000;68;100
2579000;68;100
2591000;70;100
2602000;71;100
2614000;67;100
2626000;65;100
2637000;65;100
2648000;67;100
2659000;65;100
2671000;69;100
2682000;68;100
2694000;72;100
2705000;67;100
2716000;65;100
2728000;63;100
2739000;63;100
2750000;61;100
2762000;65;100
2774000;66;100
2786000;62;100
2797000;59;100
2808000;64;100
2819000;67;100
2831000;76;100
2842000;73;100
2854000;75;100
2865000;79;100
2876000;68;100
2888000;69;100
2899000;70;100
2910000;63;100
2921000;67;100
2933000;66;100
2945000;69;100
2957000;74;100
2969000;69;100
2980000;68;100
2991000;69;100
3003000;73;100
3014000;68;100
3025000;69;100
3036000;74;100
3046000;78;100
3057000;68;100
3069000;73;100
3081000;67;100
3093000;65;100
3105000;64;100
3117000;65;100
3129000;64;100
3141000;63;100
3152000;67;100
3164000;65;100
3176000;66;100
3188000;64;100
3199000;63;100
3211000;61;100
3223000;62;100
3234000;67;100
3245000;73;100
3257000;77;100
3269000;69;100
3281000;69;100
3293000;70;100
3305000;65;100
3317000;65;100
3328000;66;100
3340000;64;100
3351000;68;100
3363000;68;100
3374000;69;100
3385000;67;100
3397000;72;100
3408000;68;100
3419000;70;100
3431000;76;100
3443000;70;100
3455000;71;100
3466000;70;100
3478000;76;100
3490000;69;100
3501000;70;100
3513000;73;100
3525000;74;100
3537000;71;100
3548000;72;100
3559000;63;100
3570000;65;100
3581000;65;100
3593000;65;100
3605000;67;100
3616000;64;100
3628000;64;100
3640000;66;100
3651000;64;100
3663000;64;100
3675000;68;100
3687000;68;100
3698000;77;100
3709000;74;100
3721000;77;100
3732000;85;100
3744000;78;100
3755000;75;100
3766000;73;100
3777000;70;100
3788000;67;100
3799000;68;100
3810000;72;100
3822000;75;100
3834000;70;100
3845000;69;100
3857000;70;100
3870000;68;100
3882000;68;100
3894000;70;100
3906000;72;100
3918000;67;100
3930000;74;100
3942000;65;100
3954000;67;100
3966000;65;100
3978000;67;100
3990000;66;100
4002000;63;100
4013000;66;100
4024000;65;100
4035000;67;100
4047000;66;100
4059000;62;100
4071000;63;100
4082000;61;100
4094000;66;100
4105000;70;100
4117000;75;100
4128000;71;100
4139000;72;100
4151000;74;100
4163000;79;100
4175000;71;100
4187000;73;100
4199000;87;100
4210000;79;100
4221000;71;100
4232000;71;100
4244000;70;100
4256000;72;100
4268000;69;100
4279000;75;100
4291000;75;100
4303000;71;100
4315000;73;100
4326000;72;100
4337000;71;100
4349000;70;100
4361000;72;100
4373000;72;100
4385000;68;100
4396000;69;100
4407000;65;100
4418000;70;100
4430000;67;100
4441000;67;100
4452000;69;100
4464000;65;100
4476000;67;100
4488000;67;100
4499000;66;100
4511000;64;100
4522000;70;100
4533000;72;100
4544000;79;100
4555000;78;100
4567000;79;100
4579000;88;100
4591000;79;100
4603000;76;100
4615000;72;100
4626000;78;100
4637000;72;100
4648000;73;100
4659000;81;100
4670000;74;100
4681000;73;100
4692000;74;100
4704000;77;100
4715000;71;100
4727000;72;100
4739000;81;100
4750000;80;100
4761000;73;100
4772000;81;100
4784000;69;100
4796000;76;100
4808000;71;100
4820000;77;100
4831000;70;100
4842000;66;100
4853000;68;100
4864000;68;100
4875000;68;100
4888000;67;100
4900000;63;100
4911000;65;100
4923000;63;100
4935000;70;100
4947000;72;100
4959000;71;100
4970000;71;100
4982000;71;100
4994000;66;100
5006000;67;100
5018000;69;100
5029000;67;100
5041000;71;100
5053000;71;100
5064000;72;100
5076000;69;100
5088000;71;100
5099000;71;100
5110000;74;100
5121000;75;100
5133000;70;100
5145000;74;100
5156000;72;100
5168000;69;100
5179000;69;100
5190000;70;100
5202000;71;100
5214000;70;100
5226000;71;100
5238000;68;100
5250000;68;100
5261000;68;100
5272000;66;100
5283000;70;100
5295000;66;100
5306000;69;100
5318000;70;100
5329000;66;100
5340000;64;100
5351000;68;100
5363000;66;100
5375000;71;100
5387000;71;100
5399000;72;100
5411000;75;100
5423000;74;100
5435000;75;100
5446000;73;100
5457000;72;100
5468000;71;100
5479000;75;100
5490000;77;100
5501000;73;100
5512000;73;100
5524000;73;100
5536000;70;100
5547000;72;100
5558000;72;100
5570000;75;100
5582000;70;100
5594000;77;100
5605000;71;100
5617000;73;100
5629000;73;100
5640000;71;100
5652000;69;100
5663000;67;100
5675000;69;100
5686000;68;100
5697000;69;100
5709000;68;100
5720000;65;100
5731000;68;100
5743000;66;100
5755000;73;100
5766000;78;100
5777000;73;100
5788000;71;100
5800000;74;100
5811000;65;100
5823000;68;100
5835000;70;100
5847000;69;100
5858000;73;100
5870000;73;100
5882000;75;100
5894000;75;100
5906000;76;100
5917000;72;100
5929000;80;100
5941000;78;100
5953000;75;100
5965000;76;100
5977000;81;100
5989000;72;100
6001000;73;100
6012000;79;100
6023000;79;100
6034000;78;100
6045000;78;100
6056000;78;100
6068000;74;100
6080000;72;100
6091000;70;100
6103000;69;100
6115000;69;100
