Timestamp,real_rpm,rpm_set,real_rpm,rpm_set
1000,224,210,224,210
13000,224,210,216,210
25000,210,210,210,210
37000,202,210,202,210
50000,196,210,193,210
63000,196,210,196,210
77000,212,210,212,210
90000,211,210,211,210
103000,229,210,229,210
116000,209,210,209,210
128000,220,210,222,210
142000,214,210,211,210
155000,213,210,213,210
169000,210,210,210,210
182000,197,210,197,210
195000,195,210,195,210
209000,196,210,197,210
222000,215,210,217,210
235000,229,210,226,210
248000,214,210,212,210
261000,225,210,218,210
274000,213,210,207,210
287000,224,210,220,210
299000,220,210,216,210
312000,210,210,210,210
325000,203,210,201,210
338000,190,210,190,210
350000,200,210,200,210
363000,213,210,212,210
375000,211,210,211,210
388000,229,210,225,210
401000,210,210,212,210
414000,223,210,222,210
428000,214,210,214,210
441000,212,210,215,210
453000,215,210,215,210
466000,199,210,198,210
479000,195,210,195,210
493000,197,210,197,210
506000,215,210,215,210
519000,232,210,229,210
532000,214,210,213,210
545000,228,210,221,210
557000,214,210,214,210
570000,224,210,224,210
583000,224,210,217,210
595000,211,210,211,210
607000,202,210,202,210
620000,196,210,196,210
632000,195,210,195,210
644000,218,210,213,210
657000,205,210,205,210
670000,223,210,223,210
683000,214,210,210,210
696000,213,210,213,210
709000,214,210,215,210
721000,205,210,206,210
734000,212,210,212,210
747000,205,210,203,210
759000,195,210,195,210
772000,201,210,196,210
784000,202,210,202,210
797000,227,210,227,210
810000,218,210,211,210
822000,212,210,215,210
834000,213,210,213,210
846000,209,210,210,210
859000,220,210,216,210
871000,215,210,215,210
884000,211,210,203,210
897000,202,210,200,210
910000,191,210,191,210
923000,208,210,211,210
935000,212,210,209,210
948000,210,210,210,210
962000,218,210,218,210
975000,213,210,214,210
987000,219,210,215,210
1000000,211,210,208,210
1012000,215,210,213,210
1026000,207,210,207,210
1038000,198,210,198,210
1050000,197,210,197,210
1063000,194,210,199,210
1076000,213,210,213,210
1089000,229,210,225,210
1102000,213,210,213,210
1115000,226,210,218,210
1128000,211,210,211,210
1141000,223,210,222,210
1155000,217,210,216,210
1168000,211,210,211,210
1181000,203,210,201,210
1194000,192,210,192,210
1206000,202,210,208,210
1219000,212,210,209,210
1232000,209,210,209,210
1244000,226,210,223,210
1257000,212,210,212,210
1270000,220,210,217,210
1283000,212,210,212,210
1296000,215,210,215,210
1308000,213,210,213,210
1321000,198,210,198,210
1333000,193,210,194,210
1346000,196,210,196,210
1359000,213,210,213,210
1371000,237,210,231,210
1384000,210,210,210,210
1397000,227,210,227,210
1410000,212,210,212,210
1424000,223,210,223,210
1437000,220,210,217,210
