Timestamp;real_rpm;rpm_set
1000;147;150
13000;160;150
25000;158;150
36000;157;150
47000;146;150
58000;144;150
69000;144;150
81000;140;150
93000;136;150
104000;146;150
115000;159;150
127000;152;150
139000;151;150
150000;151;150
162000;155;150
173000;150;150
184000;149;150
195000;157;150
207000;153;150
218000;148;150
229000;150;150
241000;148;150
253000;146;150
264000;141;150
276000;140;150
288000;142;150
300000;141;150
312000;150;150
323000;157;150
335000;166;150
346000;157;150
358000;150;150
369000;160;150
380000;151;150
392000;149;150
403000;148;150
414000;158;150
426000;158;150
438000;148;150
450000;151;150
462000;144;150
474000;142;150
486000;136;150
497000;138;150
508000;152;150
519000;153;150
531000;141;150
542000;151;150
554000;168;150
566000;152;150
578000;152;150
590000;156;150
602000;150;150
613000;154;150
625000;148;150
637000;150;150
649000;144;150
661000;140;150
673000;143;150
685000;142;150
696000;140;150
708000;144;150
719000;153;150
731000;170;150
743000;158;150
754000;155;150
766000;155;150
778000;152;150
789000;151;150
801000;149;150
813000;157;150
825000;160;150
837000;151;150
849000;150;150
861000;142;150
872000;140;150
883000;140;150
894000;140;150
906000;154;150
918000;153;150
930000;145;150
942000;152;150
953000;163;150
964000;154;150
975000;154;150
987000;156;150
998000;149;150
1010000;151;150
1021000;145;150
1033000;153;150
1044000;153;150
1056000;145;150
1068000;139;150
1079000;138;150
1090000;146;150
1101000;143;150
1112000;143;150
1122000;156;150
1133000;166;150
1144000;155;150
1155000;152;150
1167000;162;150
1178000;152;150
1190000;152;150
1201000;150;150
1213000;156;150
1224000;159;150
1236000;147;150
1246000;148;150
1258000;141;150
1269000;141;150
1281000;138;150
1293000;140;150
1304000;151;150
1315000;151;150
1327000;150;150
1339000;150;150
1350000;166;150
1362000;155;150
1373000;154;150
1385000;155;150
1397000;149;150
1409000;153;150
1420000;147;150
1432000;153;150
1444000;151;150
1456000;145;150
1467000;144;150
1478000;138;150
1490000;147;150
1502000;146;150
1513000;156;150
1524000;161;150
1535000;165;150
1547000;149;150
1558000;151;150
1569000;162;150
1581000;152;150
1593000;151;150
1604000;152;150
1616000;151;150
1628000;152;150
1640000;148;150
1651000;142;150
1663000;144;150
1675000;140;150
1687000;136;150
1698000;147;150
1709000;160;150
1721000;152;150
1733000;153;150
1744000;151;150
1756000;158;150
1768000;146;150
1780000;148;150
1792000;155;150
1804000;152;150
1815000;146;150
1827000;154;150
1838000;153;150
1849000;148;150
1861000;142;150
1872000;139;150
1883000;142;150
1895000;139;150
1906000;148;150
1917000;154;150
1928000;172;150
1940000;159;150
1951000;156;150
1962000;156;150
1974000;151;150
1985000;150;150
1997000;148;150
2007000;157;150
2018000;158;150
2030000;151;150
2042000;147;150
2053000;141;150
2065000;141;150
2077000;140;150
2088000;137;150
2100000;151;150
2112000;154;150
2123000;150;150
2134000;150;150
2145000;166;150
2157000;155;150
2168000;151;150
2180000;149;150
2192000;152;150
2203000;149;150
2214000;145;150
2225000;154;150
2236000;152;150
2247000;147;150
2258000;141;150
2269000;138;150
2280000;143;150
2292000;141;150
2304000;148;150
2315000;155;150
2327000;172;150
2339000;157;150
2351000;152;150
2362000;157;150
2373000;152;150
2384000;150;150
2396000;152;150
2408000;159;150
2419000;162;150
2431000;149;150
2443000;150;150
2454000;138;150
2466000;139;150
2477000;138;150
2489000;139;150
2501000;153;150
2512000;151;150
2523000;146;150
2535000;151;150
2546000;169;150
2557000;152;150
2569000;153;150
2581000;154;150
2593000;151;150
2605000;154;150
2616000;145;150
2628000;153;150
2640000;152;150
2651000;143;150
2663000;142;150
2675000;138;150
2687000;140;150
2698000;144;150
2710000;155;150
2721000;159;150
2732000;163;150
2744000;153;150
2755000;152;150
2767000;159;150
2778000;151;150
2789000;149;150
2800000;153;150
2812000;150;150
2823000;156;150
2834000;146;150
2846000;144;150
2858000;144;150
2870000;140;150
2881000;135;150
2893000;145;150
2904000;160;150
2915000;151;150
2927000;155;150
2938000;151;150
2949000;161;150
2961000;148;150
2973000;149;150
2984000;159;150
2996000;152;150
3008000;146;150
3019000;148;150
3030000;149;150
3042000;144;150
3053000;140;150
3065000;140;150
3077000;141;150
3088000;140;150
3100000;146;150
3111000;151;150
3122000;163;150
3134000;157;150
3145000;155;150
3156000;152;150
3167000;156;150
3179000;152;150
3190000;149;150
3201000;161;150
3213000;157;150
3225000;148;150
3237000;149;150
3249000;140;150
3261000;140;150
3272000;140;150
3284000;137;150
3296000;151;150
3307000;153;150
3319000;151;150
3331000;152;150
3343000;167;150
3355000;154;150
3367000;152;150
3379000;159;150
3391000;151;150
3402000;151;150
3413000;146;150
3424000;152;150
3435000;152;150
3446000;147;150
3457000;139;150
3469000;137;150
3480000;144;150
3491000;138;150
3503000;143;150
3514000;156;150
3526000;166;150
3538000;154;150
3550000;152;150
3562000;162;150
3574000;151;150
3585000;148;150
3597000;156;150
3608000;153;150
3620000;153;150
3631000;143;150
3643000;142;150
3655000;143;150
3667000;139;150
3679000;136;150
3691000;146;150
3702000;161;150
3713000;153;150
3725000;156;150
3737000;150;150
3749000;154;150
3761000;148;150
3773000;148;150
3784000;155;150
3795000;152;150
3806000;145;150
3818000;151;150
3830000;151;150
3841000;151;150
3852000;142;150
3863000;138;150
3875000;143;150
3886000;140;150
3897000;148;150
3909000;154;150
3921000;172;150
3932000;158;150
3944000;156;150
3955000;156;150
3966000;153;150
3977000;150;150
3988000;147;150
3999000;160;150
4010000;156;150
4021000;157;150
4032000;147;150
4044000;143;150
4055000;143;150
4066000;140;150
4078000;135;150
4089000;146;150
4101000;159;150
4113000;153;150
4124000;156;150
4135000;152;150
4146000;161;150
4157000;148;150
4168000;152;150
4180000;159;150
4192000;152;150
4204000;145;150
4215000;150;150
4227000;149;150
4238000;145;150
4250000;140;150
4261000;139;150
