Timestamp;real_rpm;rpm_set
2000;146;150
14000;155;150
26000;172;150
38000;156;150
50000;151;150
61000;157;150
73000;150;150
85000;154;150
97000;152;150
109000;152;150
120000;153;150
131000;145;150
142000;150;150
154000;144;150
165000;142;150
177000;135;150
189000;139;150
200000;153;150
211000;151;150
222000;146;150
233000;152;150
245000;160;150
256000;154;150
267000;152;150
277000;150;150
289000;148;150
301000;150;150
313000;145;150
324000;152;150
336000;151;150
348000;145;150
359000;140;150
370000;138;150
381000;146;150
393000;145;150
405000;157;150
417000;160;150
429000;164;150
440000;151;150
451000;151;150
462000;164;150
473000;152;150
485000;149;150
496000;151;150
507000;149;150
519000;150;150
531000;146;150
543000;144;150
554000;142;150
566000;141;150
578000;136;150
590000;143;150
601000;160;150
613000;153;150
624000;149;150
635000;149;150
647000;159;150
658000;153;150
670000;151;150
681000;159;150
692000;151;150
704000;156;150
716000;149;150
728000;147;150
739000;147;150
750000;144;150
762000;143;150
774000;141;150
785000;140;150
802000;144;150
814000;157;150
826000;165;150
838000;153;150
849000;150;150
860000;162;150
871000;150;150
882000;152;150
894000;149;150
905000;154;150
916000;160;150
928000;149;150
939000;148;150
951000;143;150
962000;142;150
974000;137;150
986000;140;150
998000;155;150
1010000;153;150
1021000;146;150
1033000;151;150
1044000;162;150
1056000;154;150
1068000;153;150
1079000;160;150
1091000;152;150
1102000;154;150
1113000;148;150
1125000;150;150
1137000;144;150
1148000;145;150
1160000;143;150
1172000;142;150
1183000;141;150
1195000;147;150
1207000;153;150
1218000;165;150
1230000;159;150
1241000;156;150
1252000;153;150
1264000;158;150
1275000;149;150
1287000;148;150
1299000;160;150
1310000;157;150
1321000;149;150
1333000;147;150
1344000;145;150
1356000;143;150
1368000;139;150
1379000;136;150
1391000;151;150
1402000;154;150
1414000;150;150
1425000;151;150
1437000;165;150
1448000;155;150
1459000;150;150
1470000;150;150
1483000;154;150
1494000;153;150
1505000;147;150
1516000;154;150
1528000;152;150
1540000;149;150
1552000;141;150
1563000;138;150
1574000;143;150
1586000;142;150
1598000;143;150
1609000;155;150
1621000;167;150
1632000;157;150
1644000;153;150
1655000;165;150
1666000;151;150
1677000;154;150
1689000;148;150
1700000;158;150
1713000;154;150
1725000;145;150
1737000;142;150
1748000;143;150
1760000;141;150
1772000;136;150
1783000;138;150
1795000;153;150
1805000;151;150
1816000;145;150
1828000;151;150
1839000;163;150
1851000;154;150
1862000;154;150
1873000;156;150
1885000;150;150
1896000;150;150
1907000;144;150
1918000;150;150
1929000;152;150
1941000;146;150
1953000;142;150
1964000;139;150
1976000;146;150
1988000;143;150
1999000;158;150
2010000;160;150
2021000;166;150
2034000;151;150
2045000;150;150
2056000;163;150
2068000;151;150
2080000;149;150
2092000;153;150
2103000;149;150
2114000;149;150
2125000;144;150
2137000;144;150
2149000;142;150
2161000;139;150
2172000;136;150
2184000;140;150
2196000;158;150
2207000;150;150
2219000;155;150
2231000;151;150
2243000;156;150
2254000;150;150
2265000;149;150
2277000;156;150
2288000;152;150
2299000;146;150
2310000;149;150
2321000;150;150
2332000;151;150
2344000;145;150
2355000;143;150
2367000;142;150
2378000;143;150
2389000;146;150
2402000;154;150
2413000;164;150
2425000;158;150
2437000;156;150
2449000;154;150
2461000;153;150
2473000;150;150
2485000;150;150
2497000;158;150
2509000;161;150
2521000;150;150
2533000;148;150
2545000;143;150
2557000;142;150
2569000;136;150
2581000;139;150
2593000;160;150
2604000;151;150
2615000;145;150
2626000;150;150
2637000;161;150
2648000;152;150
2660000;153;150
2672000;160;150
2683000;152;150
2695000;152;150
2706000;148;150
2718000;151;150
2731000;146;150
2742000;145;150
2754000;143;150
2766000;142;150
2778000;141;150
2790000;146;150
2801000;151;150
2813000;170;150
2825000;158;150
2837000;154;150
2849000;157;150
2861000;152;150
2873000;154;150
2885000;151;150
2897000;156;150
2909000;150;150
2921000;143;150
2933000;144;150
2945000;142;150
2957000;140;150
2969000;136;150
2981000;145;150
2993000;160;150
3004000;153;150
3016000;155;150
3028000;151;150
3040000;162;150
3052000;148;150
3064000;147;150
3076000;155;150
3088000;153;150
3100000;147;150
3112000;154;150
3124000;152;150
3136000;150;150
3148000;141;150
3160000;139;150
3172000;145;150
3184000;145;150
3196000;156;150
3208000;158;150
3220000;161;150
3232000;149;150
3244000;151;150
3256000;159;150
3268000;152;150
3280000;149;150
3292000;159;150
3304000;158;150
3316000;149;150
3328000;147;150
3340000;140;150
3352000;140;150
3364000;138;150
3376000;139;150
3387000;154;150
3399000;151;150
3411000;143;150
3423000;153;150
3435000;161;150
3447000;154;150
3459000;152;150
3471000;156;150
3483000;151;150
3495000;145;150
3507000;151;150
3519000;150;150
3531000;149;150
3543000;140;150
3555000;138;150
3567000;143;150
3579000;140;150
3591000;145;150
3603000;155;150
3615000;165;150
3627000;153;150
3638000;151;150
3650000;165;150
3662000;151;150
3674000;150;150
3686000;152;150
3698000;151;150
3710000;157;150
3722000;147;150
3734000;142;150
3746000;143;150
3758000;138;150
3770000;135;150
3782000;147;150
3794000;154;150
3806000;151;150
3818000;149;150
3830000;169;150
3842000;152;150
3854000;155;150
3866000;150;150
3878000;149;150
3890000;153;150
3902000;148;150
3914000;151;150
3926000;151;150
3938000;144;150
3949000;142;150
3961000;141;150
3973000;141;150
3985000;149;150
3997000;153;150
4009000;172;150
4021000;156;150
4033000;154;150
4045000;158;150
4056000;151;150
4068000;151;150
4080000;149;150
4092000;157;150
4103000;159;150
4116000;146;150
4127000;151;150
4139000;144;150
4151000;142;150
4163000;135;150
4175000;138;150
4187000;161;150
4199000;152;150
4211000;152;150
4223000;152;150
4235000;157;150
4247000;146;150
4259000;148;150
4271000;156;150
4283000;153;150
4295000;144;150
4307000;153;150
4319000;151;150
4331000;149;150
4342000;140;150
4354000;139;150
4366000;144;150
4378000;142;150
4390000;143;150
4402000;159;150
4414000;164;150
4426000;147;150
4438000;150;150
4450000;158;150
4462000;151;150
4474000;147;150
4486000;162;150
4498000;155;150
4510000;153;150
4522000;147;150
4534000;140;150
4547000;141;150
4560000;137;150
4572000;140;150
4584000;154;150
4595000;152;150
4606000;147;150
4618000;151;150
4630000;163;150
4642000;154;150
4653000;153;150
4665000;160;150
4677000;152;150
4688000;154;150
4700000;149;150
4711000;153;150
4723000;151;150
4735000;145;150
4747000;142;150
4759000;141;150
4771000;142;150
4783000;148;150
4795000;155;150
4807000;173;150
4819000;156;150
4831000;152;150
4843000;162;150
4855000;151;150
4867000;152;150
4879000;150;150
4891000;149;150
4903000;150;150
4915000;145;150
4927000;142;150
4939000;143;150
4951000;139;150
4963000;135;150
4975000;145;150
4987000;155;150
4999000;150;150
5011000;151;150
5024000;152;150
5036000;155;150
5048000;154;150
5060000;150;150
5072000;148;150
5083000;150;150
5095000;145;150
5107000;152;150
5119000;151;150
5131000;143;150
5143000;141;150
5155000;139;150
5167000;142;150
5179000;146;150
5191000;153;150
5203000;164;150
5215000;158;150
5227000;154;150
5239000;156;150
5251000;151;150
5263000;149;150
5275000;149;150
5287000;157;150
5299000;159;150
5311000;149;150
5323000;148;150
5335000;143;150
5347000;141;150
5359000;137;150
5371000;139;150
5383000;162;150
5395000;152;150
5407000;153;150
5419000;152;150
5431000;158;150
5443000;148;150
5455000;149;150
5466000;154;150
5478000;153;150
5490000;145;150
5502000;156;150
5514000;154;150
5526000;146;150
5538000;141;150
5550000;139;150
5562000;145;150
5574000;142;150
5586000;147;150
5598000;158;150
5610000;165;150
5622000;148;150
5634000;151;150
5646000;159;150
5657000;151;150
5669000;148;150
5681000;161;150
5693000;157;150
5705000;150;150
5717000;147;150
5729000;141;150
5742000;141;150
5753000;138;150
5765000;140;150
5777000;153;150
5789000;153;150
5801000;144;150
5813000;151;150
5825000;162;150
5837000;153;150
5849000;152;150
5861000;158;150
5873000;150;150
5885000;149;150
5897000;149;150
5909000;149;150
5921000;145;150
5933000;142;150
5945000;140;150
5957000;143;150
5969000;142;150
5981000;146;150
5993000;157;150
6005000;166;150
6017000;154;150
6028000;150;150
6040000;164;150
6052000;151;150
6064000;153;150
6076000;151;150
6088000;149;150
6100000;151;150
6112000;146;150
6124000;145;150
6136000;143;150
6148000;138;150
6160000;135;150
6172000;147;150
6184000;158;150
6196000;152;150
6208000;151;150
6220000;152;150
6232000;153;150
6244000;154;150
6256000;150;150
6268000;150;150
6280000;150;150
6292000;145;150
6304000;151;150
6316000;154;150
6328000;145;150
6340000;142;150
6352000;138;150
6364000;142;150
6376000;144;150
6388000;155;150
6399000;170;150
6411000;159;150
6423000;156;150
6435000;156;150
6447000;152;150
6459000;150;150
6471000;149;150
6483000;156;150
6495000;159;150
6507000;146;150
6519000;145;150
6531000;143;150
6543000;140;150
6555000;135;150
6567000;141;150
6579000;161;150
6591000;153;150
6603000;155;150
6615000;150;150
6627000;156;150
6639000;149;150
6651000;149;150
6663000;154;150
6675000;152;150
6687000;146;150
6699000;155;150
6711000;152;150
6723000;147;150
6735000;140;150
6747000;137;150
6759000;145;150
6771000;144;150
6783000;154;150
6794000;161;150
6806000;160;150
6818000;146;150
6830000;151;150
6842000;159;150
6854000;151;150
6866000;148;150
6877000;162;150
6889000;156;150
6902000;150;150
6914000;147;150
6926000;140;150
6938000;141;150
6950000;138;150
6962000;141;150
6974000;153;150
6985000;153;150
6997000;145;150
7009000;150;150
7022000;161;150
7034000;152;150
7046000;153;150
7058000;159;150
7070000;152;150
7082000;149;150
7094000;147;150
7106000;149;150
7118000;146;150
7130000;142;150
7142000;139;150
7154000;141;150
7166000;141;150
7178000;143;150
7190000;156;150
7202000;169;150
7214000;156;150
7226000;149;150
7238000;163;150
7250000;152;150
7262000;148;150
7274000;154;150
7286000;150;150
7298000;154;150
7310000;148;150
7322000;143;150
7334000;144;150
7346000;140;150
7357000;136;150
7369000;146;150
7381000;153;150
7393000;149;150
7405000;152;150
7417000;167;150
7429000;155;150
7441000;152;150
7453000;151;150
7465000;149;150
7477000;155;150
7489000;148;150
7501000;152;150
7513000;152;150
7525000;146;150
7537000;143;150
7549000;143;150
7561000;142;150
7573000;146;150
7585000;155;150
7597000;170;150
7609000;157;150
7621000;151;150
7633000;160;150
7645000;151;150
7657000;154;150
7669000;151;150
7681000;153;150
7693000;152;150
7705000;143;150
7717000;143;150
7728000;143;150
7740000;140;150
7752000;136;150
7764000;141;150
7776000;160;150
7788000;152;150
7800000;155;150
7812000;151;150
7824000;157;150
7836000;147;150
7848000;148;150
7860000;154;150
7872000;152;150
7884000;145;150
7896000;155;150
7908000;154;150
7920000;146;150
7932000;140;150
7944000;138;150
7956000;146;150
7968000;143;150
7980000;156;150
7992000;161;150
8004000;160;150
8016000;146;150
8028000;151;150
8040000;158;150
8052000;151;150
8064000;148;150
8076000;159;150
8088000;158;150
8100000;151;150
8111000;151;150
8123000;142;150
8135000;140;150
8147000;138;150
8159000;140;150
8171000;154;150
8183000;152;150
8195000;145;150
8207000;151;150
8219000;162;150
8231000;153;150
8243000;150;150
8255000;156;150
8267000;152;150
8279000;147;150
8291000;154;150
8303000;153;150
8315000;149;150
8327000;142;150
8339000;138;150
8351000;143;150
8363000;141;150
8375000;144;150
8387000;160;150
8399000;166;150
8411000;148;150
8423000;149;150
8435000;160;150
8447000;151;150
8459000;149;150
8471000;161;150
8482000;156;150
8494000;152;150
8506000;147;150
8518000;140;150
8530000;144;150
8542000;140;150
8554000;136;150
8566000;148;150
8578000;153;150
8590000;151;150
8602000;150;150
8614000;166;150
8626000;154;150
8638000;154;150
8650000;151;150
8662000;148;150
8674000;154;150
8686000;148;150
8698000;152;150
8710000;151;150
8722000;146;150
8734000;142;150
8745000;142;150
8757000;142;150
8769000;149;150
8781000;155;150
8793000;171;150
8805000;157;150
8817000;152;150
8830000;159;150
8842000;151;150
8853000;153;150
8864000;149;150
8875000;157;150
8886000;159;150
8898000;149;150
8910000;151;150
8922000;142;150
8934000;141;150
8946000;136;150
8958000;138;150
8970000;154;150
8982000;152;150
8994000;148;150
9006000;151;150
9018000;164;150
9030000;149;150
9041000;148;150
9053000;156;150
9064000;154;150
9076000;147;150
9088000;153;150
9100000;151;150
9112000;146;150
9124000;142;150
9136000;138;150
9148000;141;150
9160000;140;150
9172000;146;150
9184000;158;150
9196000;165;150
9208000;153;150
9220000;151;150
9232000;164;150
9244000;151;150
9256000;149;150
9268000;159;150
9280000;154;150
9292000;154;150
9304000;146;150
9316000;143;150
9328000;143;150
9340000;139;150
9352000;136;150
9364000;150;150
9376000;153;150
9388000;151;150
9400000;151;150
9411000;167;150
9423000;153;150
9435000;153;150
9447000;154;150
9459000;149;150
9471000;154;150
9483000;148;150
9495000;152;150
9507000;148;150
9519000;145;150
9531000;141;150
9543000;142;150
9555000;141;150
9567000;149;150
9579000;153;150
9591000;172;150
9603000;155;150
9615000;150;150
