Timestamp;real_rpm;rpm_set
1000;10;100
12000;9;100
24000;8;100
36000;8;100
48000;8;100
60000;9;100
72000;8;100
83000;9;100
95000;8;100
107000;8;100
119000;8;100
131000;9;100
143000;9;100
154000;9;100
166000;9;100
178000;9;100
190000;8;100
202000;8;100
214000;9;100
226000;10;100
238000;10;100
250000;10;100
262000;11;100
274000;10;100
286000;10;100
298000;9;100
310000;9;100
322000;10;100
334000;10;100
346000;9;100
358000;9;100
369000;8;100
380000;9;100
393000;10;100
405000;10;100
417000;11;100
428000;11;100
440000;11;100
452000;11;100
463000;11;100
474000;10;100
486000;10;100
499000;11;100
511000;12;100
523000;14;100
534000;13;100
546000;12;100
557000;11;100
569000;10;100
580000;10;100
592000;10;100
603000;11;100
615000;10;100
627000;10;100
638000;9;100
649000;10;100
660000;11;100
671000;13;100
683000;13;100
695000;12;100
706000;11;100
717000;12;100
728000;13;100
740000;14;100
751000;13;100
763000;12;100
774000;12;100
785000;13;100
797000;16;100
808000;14;100
820000;12;100
832000;10;100
844000;9;100
856000;11;100
868000;15;100
880000;15;100
892000;14;100
904000;14;100
915000;16;100
927000;17;100
938000;16;100
950000;14;100
961000;16;100
972000;20;100
983000;19;100
995000;16;100
1007000;14;100
1019000;15;100
1031000;15;100
1043000;14;100
1055000;13;100
1067000;12;100
1078000;13;100
1090000;16;100
1101000;16;100
1113000;15;100
1124000;15;100
1136000;16;100
1148000;18;100
1159000;16;100
1171000;15;100
1183000;17;100
1194000;18;100
1206000;17;100
1218000;15;100
1230000;14;100
1241000;14;100
1253000;15;100
1264000;14;100
1276000;14;100
1288000;15;100
1300000;17;100
1312000;18;100
1323000;17;100
1335000;17;100
1347000;21;100
1358000;21;100
1369000;19;100
1381000;18;100
1392000;17;100
1403000;16;100
1414000;15;100
1425000;16;100
1436000;17;100
1448000;16;100
1460000;16;100
1471000;16;100
1482000;17;100
1493000;18;100
1504000;18;100
1517000;18;100
1528000;19;100
1539000;22;100
1551000;19;100
1562000;16;100
1572000;16;100
1584000;16;100
1596000;16;100
1608000;16;100
1620000;18;100
1632000;18;100
1644000;17;100
1655000;17;100
1667000;18;100
1678000;21;100
1689000;23;100
1700000;20;100
1712000;21;100
1723000;22;100
1735000;18;100
1747000;17;100
1758000;19;100
1769000;20;100
1781000;18;100
1792000;20;100
1804000;23;100
1815000;20;100
1827000;17;100
1839000;18;100
1851000;24;100
1863000;21;100
1874000;19;100
1886000;19;100
1898000;20;100
1910000;17;100
1922000;17;100
1934000;19;100
1946000;19;100
1958000;18;100
1970000;19;100
1981000;22;100
1993000;20;100
2005000;19;100
2017000;21;100
2028000;21;100
2039000;19;100
2050000;18;100
2062000;19;100
2073000;20;100
2085000;19;100
2096000;19;100
2107000;19;100
2119000;20;100
2130000;20;100
2142000;20;100
2153000;19;100
2165000;20;100
2176000;19;100
2188000;18;100
2199000;20;100
2211000;20;100
2222000;19;100
2233000;20;100
2244000;18;100
2255000;20;100
2267000;19;100
2278000;20;100
2289000;21;100
2301000;21;100
2313000;17;100
2324000;19;100
2336000;21;100
2347000;21;100
2358000;21;100
2370000;22;100
2381000;24;100
2393000;21;100
2404000;22;100
2416000;26;100
2428000;23;100
2439000;21;100
2451000;21;100
2463000;21;100
2475000;21;100
2486000;23;100
2498000;25;100
2510000;23;100
2522000;24;100
2535000;23;100
2547000;21;100
2558000;22;100
2570000;27;100
2582000;21;100
2593000;19;100
2605000;22;100
2617000;23;100
2629000;22;100
2640000;25;100
2651000;24;100
2663000;22;100
2675000;32;100
2687000;26;100
2698000;22;100
2710000;26;100
2722000;23;100
2733000;22;100
2745000;23;100
2757000;24;100
2768000;23;100
2780000;27;100
2791000;25;100
2802000;24;100
2814000;28;100
2825000;24;100
2837000;21;100
2849000;23;100
2861000;24;100
2873000;22;100
2884000;22;100
2896000;24;100
2908000;25;100
2920000;29;100
2932000;27;100
2944000;28;100
2956000;25;100
2967000;23;100
2979000;24;100
2990000;25;100
3002000;24;100
3013000;25;100
3024000;25;100
3035000;26;100
3047000;31;100
3059000;26;100
3070000;24;100
3081000;25;100
3091000;24;100
3102000;24;100
3115000;26;100
3126000;25;100
3137000;24;100
3148000;27;100
3159000;27;100
3170000;27;100
3182000;28;100
3193000;24;100
3205000;25;100
3216000;28;100
3227000;24;100
3238000;26;100
3250000;27;100
3262000;23;100
3274000;28;100
3285000;28;100
3296000;25;100
3307000;27;100
3319000;25;100
3331000;25;100
3343000;26;100
3355000;24;100
3367000;26;100
3378000;27;100
3388000;25;100
3400000;25;100
3412000;24;100
3424000;24;100
3436000;25;100
3448000;27;100
3460000;26;100
3472000;26;100
3483000;29;100
3495000;27;100
3506000;25;100
3517000;25;100
3529000;24;100
3540000;24;100
3552000;28;100
3564000;27;100
3575000;27;100
3587000;29;100
3599000;25;100
3610000;30;100
3622000;28;100
3633000;24;100
3645000;30;100
3657000;28;100
3669000;32;100
3681000;29;100
3693000;32;100
3704000;37;100
3715000;29;100
3727000;32;100
3739000;28;100
3751000;29;100
3763000;31;100
3774000;29;100
3785000;32;100
3797000;28;100
3809000;32;100
3819000;32;100
3830000;27;100
3842000;28;100
3854000;27;100
3866000;29;100
3877000;31;100
3889000;31;100
3901000;36;100
3913000;31;100
3925000;31;100
3937000;28;100
3949000;30;100
3961000;29;100
3972000;29;100
3983000;32;100
3995000;30;100
4007000;35;100
4019000;29;100
4031000;29;100
4042000;28;100
4054000;30;100
4065000;30;100
4076000;29;100
4088000;35;100
4100000;33;100
4112000;34;100
4123000;32;100
4134000;28;100
4145000;33;100
4157000;31;100
4169000;35;100
4181000;29;100
4193000;34;100
4205000;34;100
4217000;30;100
4228000;31;100
4240000;27;100
4252000;31;100
4264000;29;100
4276000;32;100
4288000;31;100
4299000;30;100
4311000;31;100
4322000;28;100
4333000;31;100
4344000;29;100
4355000;29;100
4367000;31;100
4378000;29;100
4389000;30;100
4401000;31;100
4413000;29;100
4424000;29;100
4436000;29;100
4447000;30;100
4459000;30;100
4470000;28;100
4482000;32;100
4494000;28;100
4506000;28;100
4517000;31;100
4529000;30;100
4541000;34;100
4553000;31;100
4566000;36;100
4578000;34;100
4590000;32;100
4602000;32;100
4614000;32;100
4626000;35;100
4638000;32;100
4650000;35;100
4662000;30;100
4674000;38;100
4686000;29;100
4698000;31;100
4709000;32;100
4721000;33;100
4733000;33;100
4745000;36;100
4757000;38;100
4769000;34;100
4781000;35;100
4793000;32;100
4805000;35;100
4817000;34;100
4829000;35;100
4840000;33;100
4852000;37;100
4864000;31;100
4875000;33;100
4887000;32;100
4898000;32;100
4910000;34;100
4921000;38;100
4932000;37;100
4943000;37;100
4955000;32;100
4967000;34;100
4979000;35;100
4990000;35;100
5002000;33;100
5014000;38;100
5026000;34;100
5038000;35;100
5049000;33;100
5060000;33;100
5071000;35;100
5083000;33;100
5095000;38;100
5106000;36;100
5118000;38;100
5130000;33;100
5141000;37;100
5153000;34;100
5164000;37;100
5176000;32;100
5187000;38;100
5198000;34;100
5209000;35;100
5221000;33;100
5232000;33;100
5244000;33;100
5255000;33;100
5267000;35;100
5279000;33;100
5290000;33;100
5302000;33;100
5313000;33;100
5324000;34;100
5336000;33;100
5347000;37;100
5358000;33;100
5369000;32;100
5381000;32;100
5392000;32;100
5403000;36;100
5415000;35;100
5427000;35;100
5438000;33;100
5450000;40;100
5462000;32;100
5474000;40;100
5485000;38;100
5497000;39;100
5508000;40;100
5520000;40;100
5532000;40;100
5543000;36;100
5554000;37;100
5566000;38;100
5577000;39;100
5588000;37;100
5599000;41;100
5611000;37;100
5622000;36;100
5633000;36;100
5645000;38;100
