Timestamp,real_rpm,rpm_set
3000,97,100
15000,94,100
27000,93,100
39000,90,100
50000,91,100
62000,97,100
73000,102,100
84000,100,100
96000,103,100
108000,92,100
120000,98,100
132000,102,100
144000,105,100
156000,103,100
168000,95,100
179000,102,100
191000,100,100
203000,103,100
215000,100,100
227000,97,100
238000,98,100
250000,98,100
262000,101,100
274000,102,100
286000,92,100
298000,97,100
310000,95,100
321000,94,100
333000,93,100
345000,99,100
357000,95,100
369000,97,100
381000,107,100
393000,105,100
405000,104,100
417000,112,100
429000,103,100
441000,106,100
453000,100,100
464000,111,100
476000,100,100
488000,102,100
500000,105,100
512000,98,100
524000,110,100
535000,96,100
547000,109,100
559000,98,100
571000,97,100
583000,104,100
596000,92,100
608000,95,100
619000,95,100
631000,94,100
643000,90,100
655000,92,100
667000,104,100
679000,102,100
691000,103,100
703000,94,100
715000,97,100
727000,103,100
739000,104,100
751000,103,100
763000,96,100
775000,103,100
787000,100,100
799000,105,100
811000,100,100
823000,100,100
835000,99,100
847000,99,100
859000,100,100
871000,103,100
883000,94,100
895000,98,100
907000,96,100
919000,93,100
930000,93,100
942000,100,100
954000,95,100
966000,96,100
978000,105,100
990000,103,100
1002000,116,100
1014000,108,100
1026000,105,100
1038000,108,100
1050000,99,100
1062000,111,100
1074000,100,100
1086000,102,100
1098000,98,100
1110000,100,100
1122000,108,100
1134000,98,100
1146000,107,100
1158000,95,100
1169000,100,100
1181000,95,100
1193000,91,100
1205000,96,100
1217000,95,100
1229000,93,100
1241000,89,100
1253000,94,100
1264000,105,100
1276000,102,100
1288000,102,100
1300000,98,100
1311000,96,100
1323000,102,100
1335000,117,100
1347000,102,100
1358000,102,100
1370000,101,100
1382000,101,100
1394000,104,100
1406000,101,100
1418000,98,100
1430000,97,100
1442000,97,100
1454000,99,100
1466000,104,100
1478000,94,100
1490000,96,100
1502000,96,100
1514000,94,100
1526000,92,100
1537000,97,100
1549000,95,100
1561000,96,100
1574000,103,100
1586000,104,100
1598000,112,100
1610000,109,100
1622000,103,100
1634000,105,100
1646000,98,100
1658000,111,100
1670000,101,100
1682000,102,100
1694000,100,100
1706000,101,100
1718000,110,100
1730000,97,100
1742000,109,100
1754000,96,100
1766000,100,100
1778000,98,100
1790000,92,100
1801000,97,100
1813000,95,100
1825000,93,100
1837000,90,100
1849000,95,100
1860000,104,100
1872000,102,100
1884000,102,100
1895000,97,100
1907000,96,100
1919000,103,100
1931000,105,100
1943000,104,100
1954000,102,100
1966000,102,100
1978000,100,100
1990000,104,100
2002000,102,100
2014000,99,100
2026000,97,100
2038000,99,100
2050000,98,100
2062000,103,100
2074000,94,100
2086000,96,100
2098000,96,100
2110000,94,100
2122000,92,100
2134000,96,100
2146000,94,100
2158000,96,100
2170000,99,100
2182000,105,100
2194000,108,100
2206000,111,100
2218000,101,100
2230000,107,100
2242000,98,100
2254000,112,100
2266000,100,100
2278000,102,100
2290000,102,100
2302000,100,100
2314000,111,100
2325000,99,100
2337000,108,100
2349000,96,100
2361000,100,100
2373000,101,100
2385000,92,100
2397000,97,100
2409000,95,100
2421000,93,100
2433000,90,100
2445000,95,100
2457000,104,100
2469000,101,100
2481000,103,100
2494000,92,100
2506000,98,100
2518000,102,100
2530000,105,100
2542000,104,100
2554000,95,100
2566000,102,100
2578000,101,100
2590000,104,100
2602000,99,100
2614000,101,100
2626000,98,100
2638000,99,100
2650000,104,100
2662000,99,100
2673000,94,100
2685000,98,100
2697000,95,100
2708000,93,100
2720000,93,100
2732000,99,100
2744000,95,100
2756000,97,100
2768000,111,100
2780000,102,100
2792000,121,100
2804000,105,100
2816000,104,100
2828000,104,100
2840000,97,100
2852000,112,100
2864000,99,100
2876000,101,100
2888000,97,100
2900000,100,100
2912000,106,100
2924000,102,100
2936000,102,100
2948000,96,100
2960000,100,100
2972000,92,100
2984000,93,100
2996000,97,100
3008000,93,100
3020000,92,100
3032000,89,100
3044000,98,100
3056000,100,100
3068000,102,100
3079000,101,100
3091000,92,100
3103000,102,100
3115000,98,100
3127000,109,100
3139000,102,100
3151000,99,100
3163000,99,100
3175000,102,100
3187000,102,100
3199000,99,100
3211000,105,100
3223000,95,100
3235000,100,100
3247000,103,100
3259000,99,100
3271000,102,100
3283000,96,100
3295000,94,100
3307000,93,100
3319000,95,100
3331000,100,100
3343000,93,100
3355000,98,100
3367000,106,100
3379000,103,100
3391000,119,100
3403000,104,100
3415000,103,100
3427000,100,100
3439000,103,100
3450000,109,100
3462000,100,100
3474000,99,100
3486000,97,100
3498000,100,100
3510000,103,100
3522000,106,100
3534000,96,100
3546000,100,100
3558000,99,100
3570000,94,100
3582000,96,100
3594000,97,100
3606000,93,100
3618000,92,100
3630000,94,100
3642000,99,100
3654000,102,100
3666000,103,100
3678000,102,100
3690000,98,100
3702000,102,100
3714000,98,100
3726000,108,100
3738000,100,100
3750000,106,100
3762000,99,100
3774000,109,100
3786000,100,100
3798000,102,100
3810000,106,100
3822000,95,100
3833000,104,100
3845000,97,100
3857000,99,100
3869000,102,100
3881000,93,100
3893000,95,100
3905000,92,100
3917000,96,100
3929000,94,100
3941000,94,100
3953000,99,100
3965000,99,100
3977000,111,100
3989000,108,100
4001000,107,100
4013000,95,100
4025000,101,100
4037000,103,100
4049000,104,100
4061000,99,100
4073000,100,100
4085000,99,100
4097000,100,100
4109000,105,100
4121000,105,100
4133000,95,100
4145000,102,100
4157000,95,100
4169000,96,100
4181000,96,100
4193000,93,100
4204000,93,100
4216000,90,100
4228000,95,100
4240000,97,100
4252000,107,100
4264000,103,100
4276000,101,100
4288000,107,100
4300000,100,100
4312000,111,100
4324000,106,100
4336000,102,100
4348000,104,100
4360000,99,100
4372000,108,100
4384000,98,100
4395000,103,100
4407000,99,100
4418000,96,100
4430000,104,100
4442000,100,100
4454000,101,100
4466000,102,100
4478000,94,100
4489000,94,100
4502000,93,100
4514000,95,100
4526000,94,100
4538000,93,100
4549000,100,100
4561000,99,100
4573000,109,100
4585000,109,100
4597000,108,100
4609000,94,100
4621000,99,100
4633000,104,100
4645000,104,100
4657000,99,100
4669000,98,100
4681000,98,100
4693000,98,100
4705000,107,100
4717000,104,100
