Timestamp;real_rpm;rpm_set
0;101;100
12000;95;100
24000;102;100
36000;107;100
47000;107;100
58000;105;100
70000;94;100
82000;98;100
93000;103;100
104000;104;100
116000;100;100
128000;97;100
139000;97;100
151000;100;100
162000;104;100
173000;99;100
185000;105;100
196000;97;100
208000;95;100
220000;103;100
232000;92;100
243000;95;100
254000;96;100
266000;95;100
278000;91;100
290000;92;100
301000;100;100
312000;112;100
323000;101;100
334000;101;100
345000;108;100
357000;99;100
368000;102;100
379000;106;100
390000;99;100
402000;99;100
413000;99;100
424000;100;100
435000;103;100
447000;101;100
459000;100;100
471000;97;100
483000;98;100
494000;100;100
505000;101;100
516000;100;100
528000;95;100
541000;96;100
553000;97;100
565000;94;100
576000;98;100
587000;95;100
599000;98;100
610000;95;100
621000;107;100
633000;105;100
645000;111;100
657000;103;100
669000;102;100
681000;100;100
693000;105;100
704000;102;100
715000;98;100
727000;100;100
738000;97;100
749000;99;100
760000;102;100
771000;104;100
783000;107;100
794000;94;100
805000;94;100
816000;102;100
828000;91;100
839000;96;100
850000;96;100
861000;94;100
873000;91;100
885000;96;100
896000;101;100
907000;111;100
918000;102;100
929000;102;100
941000;102;100
952000;102;100
963000;97;100
975000;109;100
986000;100;100
998000;101;100
1010000;99;100
1022000;103;100
1033000;104;100
1045000;100;100
1056000;100;100
1067000;98;100
1078000;99;100
1089000;99;100
1100000;100;100
1111000;102;100
1123000;95;100
1135000;93;100
1146000;97;100
1157000;94;100
1168000;96;100
1180000;94;100
1192000;97;100
1203000;104;100
1215000;100;100
1226000;112;100
1238000;108;100
1250000;106;100
1262000;95;100
1273000;98;100
1284000;102;100
1295000;107;100
1307000;99;100
1319000;100;100
1331000;95;100
1342000;100;100
1353000;109;100
1365000;95;100
1377000;109;100
1388000;106;100
1400000;92;100
1412000;104;100
1423000;93;100
1435000;95;100
1447000;94;100
1458000;94;100
1469000;91;100
1481000;97;100
1493000;100;100
1504000;112;100
1515000;102;100
1526000;100;100
1538000;108;100
1549000;100;100
1561000;97;100
1573000;108;100
1584000;101;100
1595000;95;100
1606000;99;100
1618000;102;100
1630000;103;100
1642000;100;100
1653000;106;100
1665000;97;100
1677000;98;100
1688000;103;100
1699000;102;100
1711000;95;100
1723000;94;100
1734000;95;100
1745000;95;100
1757000;92;100
1769000;96;100
1781000;96;100
1792000;98;100
1804000;95;100
1816000;108;100
1827000;105;100
1839000;110;100
1851000;101;100
1863000;105;100
1874000;100;100
1886000;105;100
1898000;102;100
1910000;97;100
1921000;97;100
1933000;97;100
1944000;98;100
1956000;107;100
1967000;104;100
1979000;96;100
1991000;100;100
2003000;99;100
2015000;94;100
2027000;96;100
2039000;95;100
2050000;92;100
2062000;92;100
2073000;91;100
2085000;99;100
2096000;103;100
2107000;0;0
2119000;0;0
2131000;0;0
2143000;0;0
2154000;0;0
2166000;0;0
2177000;0;0
2189000;0;0
2201000;0;0
2213000;0;0
2225000;0;0
2237000;0;0
2248000;0;0
2260000;0;0
2272000;0;0
2284000;0;0
2296000;0;0
2308000;0;0
2320000;0;0
2331000;0;0
2342000;0;0
2353000;0;0
2365000;0;0
2376000;0;0
2388000;0;0
2400000;0;0
2412000;0;0
2424000;0;0
2436000;0;0
2448000;0;0
2460000;0;0
2473000;0;0
2484000;0;0
2496000;0;0
2508000;0;0
2520000;0;0
2532000;0;0
2546000;0;0
2558000;0;0
2570000;0;0
2582000;0;0
2594000;0;0
2606000;0;0
2617000;0;0
2628000;0;0
2640000;0;0
2651000;0;0
2663000;0;0
2675000;0;0
2686000;0;0
2698000;0;0
2710000;0;100
2722000;11;100
2733000;22;100
2745000;41;100
2756000;42;100
2768000;52;100
2779000;59;100
2791000;62;100
2802000;66;100
2814000;70;100
2826000;78;100
2838000;79;100
2850000;80;100
2861000;87;100
2873000;96;100
2885000;96;100
2897000;95;100
2909000;102;100
2920000;95;100
2932000;90;100
2944000;96;100
2955000;100;100
2967000;101;100
2979000;98;100
2991000;95;100
3002000;94;100
3014000;97;100
3025000;102;100
3037000;95;100
3049000;103;100
3060000;100;100
3072000;92;100
3083000;102;100
3095000;92;100
3106000;95;100
3117000;95;100
3128000;94;100
3139000;92;100
3151000;97;100
3163000;100;100
3175000;112;100
3186000;102;100
3198000;101;100
3210000;106;100
3221000;98;100
3232000;97;100
3243000;108;100
3255000;100;100
3267000;106;100
3278000;98;100
3290000;107;100
3302000;99;100
3314000;101;100
3326000;107;100
3338000;95;100
3349000;99;100
3360000;103;100
3372000;99;100
3384000;100;100
3396000;98;100
3408000;93;100
3420000;94;100
3432000;97;100
3443000;100;100
3454000;94;100
3466000;98;100
3477000;110;100
3489000;104;100
3500000;105;100
3511000;110;100
3523000;101;100
3534000;100;100
3545000;100;100
3557000;103;100
3568000;103;100
3580000;97;100
3592000;97;100
3603000;97;100
3615000;99;100
3626000;106;100
3638000;105;100
3648000;93;100
3659000;95;100
3671000;99;100
3682000;92;100
3694000;94;100
3706000;98;100
3717000;96;100
3728000;94;100
3740000;92;100
3752000;96;100
3764000;104;100
3776000;102;100
3787000;103;100
3798000;95;100
3810000;97;100
3821000;103;100
3833000;112;100
3844000;100;100
3856000;102;100
3868000;101;100
3879000;98;100
3890000;108;100
3901000;97;100
3913000;102;100
3924000;106;100
3935000;95;100
3947000;104;100
3959000;98;100
3970000;98;100
3982000;96;100
3994000;97;100
4005000;93;100
4017000;94;100
4029000;98;100
4041000;101;100
4053000;95;100
4065000;103;100
4076000;104;100
4088000;110;100
4100000;110;100
4111000;103;100
4122000;104;100
4134000;100;100
4146000;99;100
4157000;112;100
4169000;98;100
4181000;100;100
4193000;99;100
4205000;98;100
4216000;110;100
4228000;96;100
4239000;110;100
4250000;106;100
4261000;93;100
4273000;98;100
4284000;97;100
4295000;97;100
4306000;93;100
4317000;93;100
4329000;92;100
4340000;97;100
4352000;100;100
4364000;106;100
4376000;104;100
4387000;103;100
4398000;94;100
4411000;102;100
4424000;98;100
4435000;108;100
4447000;101;100
4459000;104;100
4470000;99;100
4482000;100;100
4493000;104;100
4505000;100;100
4517000;102;100
4528000;98;100
4539000;97;100
4551000;100;100
4562000;103;100
4574000;95;100
4585000;94;100
4596000;95;100
4609000;97;100
4620000;93;100
4632000;98;100
4644000;96;100
4655000;99;100
4667000;95;100
4679000;106;100
4691000;105;100
4702000;111;100
4714000;100;100
4725000;96;100
4736000;100;100
4748000;102;100
4759000;104;100
4771000;99;100
4783000;97;100
4795000;98;100
4807000;100;100
4819000;106;100
4831000;104;100
4842000;94;100
4853000;99;100
4864000;100;100
4875000;95;100
4887000;92;100
4898000;96;100
4910000;96;100
4921000;94;100
4933000;91;100
4945000;94;100
4957000;105;100
4969000;102;100
4981000;103;100
4992000;92;100
5003000;98;100
5015000;103;100
5027000;105;100
5039000;102;100
5050000;96;100
5062000;101;100
5073000;99;100
5085000;104;100
5096000;100;100
5107000;102;100
5119000;95;100
5131000;98;100
5143000;105;100
5155000;97;100
5166000;101;100
5178000;102;100
5189000;93;100
5200000;92;100
5212000;94;100
5224000;97;100
5236000;99;100
5248000;94;100
5260000;102;100
5272000;99;100
5286000;105;100
5297000;106;100
5309000;104;100
5320000;94;100
5331000;99;100
5341000;102;100
5353000;106;100
5365000;100;100
5377000;97;100
5388000;96;100
5400000;99;100
5411000;107;100
5423000;96;100
5434000;108;100
5445000;103;100
5457000;92;100
5468000;102;100
5480000;91;100
5492000;95;100
5503000;95;100
5515000;95;100
5526000;92;100
5538000;97;100
5550000;101;100
5562000;112;100
5574000;101;100
5586000;104;100
5597000;106;100
5608000;99;100
5620000;120;100
5631000;102;100
5642000;100;100
5654000;105;100
5665000;99;100
5677000;107;100
5689000;97;100
5701000;101;100
5713000;105;100
5725000;95;100
5736000;98;100
5747000;102;100
5759000;99;100
5771000;100;100
5783000;97;100
5794000;94;100
5806000;94;100
5818000;97;100
5830000;98;100
5841000;94;100
5852000;100;100
5864000;110;100
5876000;103;100
5888000;120;100
5900000;104;100
5912000;102;100
5924000;98;100
5935000;98;100
5947000;111;100
5958000;98;100
5969000;99;100
5980000;104;100
5991000;97;100
6003000;103;100
6014000;106;100
6026000;104;100
6037000;97;100
6049000;100;100
6060000;96;100
6072000;93;100
6084000;97;100
6096000;95;100
6108000;94;100
6119000;92;100
6131000;98;100
6142000;100;100
6153000;103;100
6165000;102;100
6176000;102;100
6188000;96;100
6199000;100;100
6211000;98;100
6223000;106;100
6234000;103;100
6246000;95;100
6257000;100;100
6269000;101;100
6280000;104;100
6291000;101;100
6303000;97;100
6314000;96;100
6325000;98;100
6337000;102;100
6348000;96;100
6359000;102;100
6370000;101;100
6382000;93;100
6394000;92;100
6405000;94;100
6417000;96;100
6429000;96;100
6441000;95;100
6452000;102;100
6463000;106;100
6475000;110;100
6487000;114;100
6499000;105;100
6511000;100;100
6522000;102;100
6534000;99;100
6545000;110;100
6556000;99;100
6568000;100;100
6580000;97;100
6591000;98;100
6602000;109;100
6614000;96;100
6626000;110;100
6638000;97;100
6649000;94;100
6660000;104;100
6671000;98;100
6683000;96;100
6695000;94;100
6707000;95;100
6718000;92;100
6730000;95;100
6741000;100;100
6753000;112;100
6764000;101;100
6776000;99;100
6787000;106;100
6799000;100;100
6810000;98;100
6821000;108;100
6833000;100;100
6844000;94;100
6856000;99;100
6869000;105;100
6881000;99;100
6893000;99;100
6905000;105;100
6916000;97;100
6927000;96;100
6938000;102;100
6950000;100;100
6962000;95;100
6974000;97;100
6985000;96;100
6997000;94;100
7008000;96;100
7020000;101;100
7032000;96;100
7043000;98;100
7054000;103;100
7065000;107;100
7076000;105;100
7088000;111;100
7100000;101;100
7111000;94;100
7123000;100;100
7135000;103;100
7147000;103;100
7158000;98;100
7170000;101;100
7182000;97;100
7193000;99;100
7205000;106;100
7216000;103;100
7227000;94;100
7239000;97;100
7251000;98;100
7262000;97;100
7274000;91;100
7286000;97;100
7298000;96;100
7310000;93;100
7322000;92;100
7334000;98;100
7345000;102;100
7357000;102;100
7368000;104;100
7379000;92;100
7390000;97;100
7402000;102;100
7413000;103;100
7425000;102;100
7437000;95;100
7449000;101;100
7460000;100;100
7472000;104;100
7483000;101;100
7495000;99;100
7507000;95;100
7520000;97;100
7531000;98;100
7542000;101;100
7554000;103;100
7565000;96;100
7577000;93;100
7588000;98;100
7600000;94;100
7612000;97;100
7624000;95;100
7636000;100;100
7648000;97;100
7660000;100;100
7672000;108;100
7684000;107;100
7696000;106;100
7708000;94;100
7719000;99;100
7731000;103;100
7743000;103;100
7754000;98;100
7765000;97;100
7777000;98;100
7789000;100;100
7800000;105;100
7812000;106;100
7824000;95;100
7836000;100;100
7847000;99;100
7858000;92;100
7870000;95;100
7882000;97;100
7893000;95;100
7904000;93;100
7916000;91;100
7928000;97;100
7939000;106;100
7950000;101;100
7962000;104;100
7973000;100;100
7984000;105;100
7996000;103;100
8008000;120;100
8020000;100;100
8032000;103;100
8044000;101;100
8055000;98;100
8067000;104;100
8078000;97;100
8089000;103;100
8101000;96;100
8113000;98;100
8124000;105;100
8135000;99;100
8146000;99;100
8157000;101;100
8169000;96;100
8181000;93;100
8193000;94;100
8204000;97;100
8217000;100;100
8229000;96;100
8241000;104;100
8253000;102;100
8264000;110;100
8275000;121;100
8286000;103;100
8297000;102;100
8309000;106;100
8321000;97;100
8333000;111;100
8344000;98;100
8356000;100;100
8368000;103;100
8379000;97;100
8391000;110;100
8402000;105;100
8414000;103;100
8425000;107;100
8437000;91;100
8448000;96;100
8460000;97;100
8471000;96;100
8482000;96;100
8494000;93;100
8505000;91;100
8517000;97;100
8529000;99;100
8541000;105;100
8553000;103;100
8564000;100;100
8576000;108;100
8588000;100;100
8600000;111;100
8612000;105;100
8623000;101;100
8635000;105;100
8647000;99;100
8659000;105;100
8671000;97;100
8682000;100;100
8693000;104;100
8705000;96;100
8716000;99;100
8728000;102;100
8740000;103;100
8752000;94;100
8763000;98;100
8775000;96;100
8787000;94;100
8798000;94;100
8809000;99;100
8821000;97;100
8833000;98;100
8844000;96;100
8856000;106;100
8868000;105;100
8879000;110;100
8890000;102;100
8902000;105;100
8914000;99;100
8926000;108;100
8938000;100;100
8950000;99;100
8962000;104;100
8974000;97;100
8985000;103;100
8997000;107;100
9008000;103;100
9020000;107;100
9031000;100;100
9043000;95;100
9055000;97;100
9067000;97;100
9079000;93;100
9091000;94;100
9103000;92;100
9114000;97;100
9126000;100;100
9137000;103;100
9149000;104;100
9160000;102;100
9171000;96;100
9182000;100;100
9194000;99;100
9206000;103;100
9218000;103;100
9229000;94;100
9241000;100;100
9252000;101;100
9263000;104;100
9274000;101;100
9286000;96;100
9297000;96;100
9308000;99;100
9320000;99;100
9331000;95;100
9342000;103;100
9353000;101;100
9364000;93;100
9375000;93;100
9387000;94;100
9398000;97;100
9409000;100;100
9421000;95;100
9432000;105;100
9444000;106;100
9455000;104;100
9466000;115;100
9478000;106;100
9490000;102;100
9501000;106;100
9512000;98;100
9524000;107;100
9536000;100;100
9548000;99;100
9559000;104;100
9570000;97;100
9581000;102;100
9593000;107;100
9605000;102;100
9617000;106;100
9628000;93;100
9640000;94;100
9651000;96;100
9663000;96;100
9675000;92;100
9686000;94;100
9697000;93;100
9709000;97;100
9720000;100;100
9731000;103;100
9743000;102;100
9754000;103;100
9766000;93;100
9778000;99;100
9790000;102;100
9801000;104;100
9812000;103;100
9824000;97;100
9836000;102;100
9848000;100;100
9859000;103;100
9871000;100;100
9881000;98;100
9893000;94;100
9905000;99;100
9917000;99;100
9929000;101;100
9940000;99;100
9951000;96;100
9963000;93;100
9975000;96;100
9987000;93;100
9999000;97;100
10011000;96;100
10023000;101;100
10034000;96;100
10045000;102;100
10056000;111;100
10067000;106;100
10078000;106;100
10090000;93;100
10102000;98;100
10114000;103;100
10125000;105;100
10137000;100;100
10149000;98;100
10161000;96;100
10173000;100;100
10185000;103;100
10197000;104;100
10208000;94;100
10223000;100;100
10235000;95;100
10247000;94;100
10258000;97;100
10270000;97;100
10281000;94;100
10293000;93;100
10304000;92;100
10316000;98;100
10327000;103;100
10338000;103;100
10349000;104;100
10361000;93;100
10372000;98;100
10384000;104;100
10396000;104;100
10408000;101;100
10419000;96;100
10430000;100;100
10442000;97;100
10453000;103;100
10464000;100;100
10476000;98;100
10487000;95;100
10499000;97;100
10511000;99;100
10523000;97;100
10534000;103;100
10545000;102;100
10557000;92;100
10569000;95;100
10581000;93;100
10593000;96;100
10604000;97;100
10616000;94;100
10627000;102;100
10639000;100;100
10651000;111;100
10663000;105;100
10675000;106;100
10686000;102;100
10697000;98;100
10709000;102;100
10720000;111;100
10731000;99;100
10743000;100;100
10754000;105;100
10765000;97;100
10777000;111;100
10788000;102;100
10799000;102;100
10810000;102;100
10821000;98;100
10833000;95;100
10845000;97;100
10856000;96;100
10867000;95;100
10879000;94;100
10890000;93;100
10901000;95;100
10912000;100;100
10924000;103;100
10935000;102;100
10947000;104;100
10959000;94;100
10970000;103;100
10982000;98;100
10993000;104;100
11004000;103;100
11015000;96;100
11026000;100;100
11038000;98;100
11050000;104;100
11062000;101;100
11074000;98;100
11086000;95;100
11097000;100;100
11109000;99;100
11120000;95;100
11132000;104;100
11143000;98;100
11154000;92;100
11165000;93;100
11177000;93;100
11189000;97;100
11200000;94;100
11212000;98;100
11223000;105;100
11235000;101;100
11247000;110;100
11258000;108;100
11270000;105;100
11282000;95;100
11294000;98;100
11305000;101;100
11316000;106;100
11328000;99;100
11339000;101;100
11351000;96;100
11362000;99;100
11374000;108;100
11386000;96;100
11397000;110;100
11409000;106;100
11420000;92;100
11432000;99;100
11443000;99;100
11455000;94;100
11466000;94;100
11478000;94;100
11490000;92;100
11502000;93;100
11513000;100;100
11524000;112;100
11535000;102;100
11546000;100;100
11558000;109;100
11569000;102;100
11581000;97;100
11593000;109;100
11605000;101;100
11617000;103;100
11628000;98;100
11640000;105;100
11651000;104;100
11663000;100;100
11675000;102;100
11686000;97;100
11697000;98;100
11709000;102;100
11721000;102;100
11732000;94;100
11744000;95;100
11756000;96;100
11768000;95;100
11779000;94;100
11791000;99;100
11802000;97;100
11814000;99;100
11825000;94;100
11835000;102;100
11846000;104;100
11857000;106;100
11868000;105;100
11880000;95;100
11892000;99;100
11904000;102;100
11915000;104;100
11927000;99;100
