Timestamp;real_rpm;rpm_set
25000;41;100
36000;49;100
48000;46;100
60000;49;100
72000;52;100
84000;45;100
95000;45;100
107000;52;100
119000;43;100
131000;45;100
143000;51;100
154000;46;100
166000;47;100
178000;48;100
190000;45;100
201000;45;100
212000;46;100
224000;48;100
236000;46;100
248000;48;100
259000;47;100
271000;43;100
283000;47;100
295000;51;100
306000;42;100
318000;55;100
330000;47;100
341000;41;100
353000;48;100
364000;56;100
376000;38;100
388000;41;100
400000;50;100
411000;49;100
423000;52;100
435000;51;100
446000;44;100
457000;50;100
468000;47;100
480000;47;100
492000;56;100
503000;51;100
515000;42;100
527000;44;100
538000;48;100
549000;48;100
560000;54;100
572000;49;100
584000;45;100
595000;48;100
607000;51;100
619000;45;100
631000;53;100
643000;58;100
654000;44;100
666000;48;100
678000;54;100
689000;41;100
701000;46;100
713000;54;100
725000;48;100
736000;47;100
748000;51;100
760000;46;100
772000;46;100
783000;50;100
795000;45;100
806000;48;100
817000;47;100
829000;48;100
840000;46;100
852000;47;100
864000;51;100
875000;42;100
887000;46;100
898000;53;100
910000;45;100
921000;49;100
933000;52;100
945000;50;100
956000;51;100
968000;51;100
980000;43;100
991000;54;100
1002000;47;100
1014000;44;100
1025000;54;100
1036000;48;100
1047000;32;100
1059000;49;100
1071000;64;100
1083000;57;100
1094000;51;100
1106000;48;100
1117000;42;100
1128000;45;100
1140000;51;100
1152000;51;100
1164000;50;100
1176000;53;100
1188000;51;100
1200000;48;100
1212000;51;100
1223000;53;100
1234000;43;100
1245000;52;100
1256000;48;100
1268000;47;100
1280000;54;100
1292000;51;100
1303000;43;100
1315000;49;100
1326000;53;100
1337000;43;100
1349000;54;100
1361000;54;100
1373000;48;100
1385000;48;100
1397000;49;100
1408000;47;100
1419000;49;100
1431000;48;100
1442000;48;100
1454000;50;100
1466000;46;100
1478000;47;100
1490000;49;100
1502000;46;100
1514000;51;100
1526000;59;100
1538000;41;100
1549000;52;100
1561000;64;100
1573000;55;100
1585000;32;100
1597000;33;100
1609000;55;100
